Method,Rank,Train Time (s),Inference (ms),Setup (ms),Solve (ms),Total (ms),25th Percentile (ms),75th Percentile (ms),Median Iterations
MLP_Unnested,2,443.3138305829998,38.996416499969655,0.18560449996130046,24.547062500005268,82.43327099984299,72.3714064999399,95.8880415000749,61.0
MLP_Unnested,4,443.3138305829998,38.996416499969655,0.2414374998807034,44.42962500002068,105.73379250030257,90.36293750008895,129.85862450008767,61.0
MLP_Unnested,6,443.3138305829998,38.996416499969655,0.2782085000490042,45.92743750004047,105.00147849995756,92.72950924975021,127.90172900008656,59.0
MLP_Unnested,8,443.3138305829998,38.996416499969655,0.4204165000487592,45.142707999957565,106.28891650003425,95.01949000028276,132.745938249883,59.0
MLP_Unnested,10,443.3138305829998,38.996416499969655,0.5188124999904176,47.947353999973075,108.76614549999886,96.30936500008147,125.39064624999696,58.0
MLP_Unnested,12,443.3138305829998,38.996416499969655,0.6096040000329594,45.96710399994208,105.09456199997658,95.35362325004826,127.6699164997126,58.0
MLP_Unnested,14,443.3138305829998,38.996416499969655,0.6898334999050348,47.5931254999864,109.27772849987605,93.75007199992069,132.81530099993688,57.0
MLP_Unnested,20,443.3138305829998,38.996416499969655,0.8942714998738666,48.995042000001376,110.08941649993176,96.9517297502307,134.61302124994745,54.0
MLP_Unnested,24,443.3138305829998,38.996416499969655,1.0016254999527519,47.02356199993574,107.22597900002029,92.90547875013999,132.15160349994903,53.0
MLP_Unnested,26,443.3138305829998,38.996416499969655,1.2014374999580468,48.691958500171495,113.44522949991642,99.73231199990096,135.5221035000227,52.0
MLP_Unnested,28,443.3138305829998,38.996416499969655,1.1401874999705797,49.631187499926455,110.04820849996122,97.86901075011656,129.47933274992351,52.0
MLP_Unnested,30,443.3138305829998,38.996416499969655,1.085312999919097,49.644395999905555,114.42458400017586,95.40948949995709,131.8532399999981,51.0
MLP_Unnested,32,443.3138305829998,38.996416499969655,1.0057915000061257,50.25964549997752,111.90193850006835,97.75160475012967,132.4949692502173,50.0
MLP_Unnested,36,443.3138305829998,38.996416499969655,1.2691460001406085,51.49087500001315,117.85366749995774,98.7676457502289,131.38461425023706,49.0
MLP_Unnested,40,443.3138305829998,38.996416499969655,1.4818749999676584,46.888520500147024,107.28649999987283,92.94612424969273,130.79000000004726,47.0
MLP_Unnested,44,443.3138305829998,38.996416499969655,1.6511249999666688,53.02470800006631,116.65804199992635,98.15144850006163,137.15785450011708,46.0
MLP_Unnested,48,443.3138305829998,38.996416499969655,2.1827085000722946,52.52147950000108,115.79983349986378,99.34334350000995,143.9602815001706,43.0
MLP_Unnested,52,443.3138305829998,38.996416499969655,1.994624999952066,53.92585399999916,117.38068800013934,99.8763430000622,146.91504249998388,42.0
MLP_Unnested,56,443.3138305829998,38.996416499969655,2.016853999975865,51.79247899997108,113.15683249983977,101.08746774983501,136.68161399994005,39.0
MLP_Unnested,60,443.3138305829998,38.996416499969655,2.03406250000171,48.081792000061796,111.8306444997188,99.5676772501497,133.21818699995447,36.0
MLP_Unnested,64,443.3138305829998,38.996416499969655,1.9949584999494618,48.75337499993293,109.36058300012519,96.87100024996198,129.7334272499313,33.0
MLP_Unnested,68,443.3138305829998,38.996416499969655,2.2240630000851525,40.503354500060595,103.13270950007336,90.18027075003943,122.24214575002179,29.0
MLP_Unnested,72,443.3138305829998,38.996416499969655,2.373374500052705,28.49916699994992,92.1844165000607,78.39028249998137,108.62592800009452,20.0
GNN,2,3615.585700082999,720.1483745000132,0.2478965000136668,22.22958350000681,758.6711664999939,739.2495415001008,777.0780105000767,54.0
GNN,4,3615.585700082999,720.1483745000132,0.27408299990838714,41.47362499998053,778.2425629999921,758.3511672503391,799.7702277500309,54.0
GNN,6,3615.585700082999,720.1483745000132,0.32039600000643986,43.46256250005354,782.1511869998403,763.4225417499465,804.720915499928,54.0
GNN,8,3615.585700082999,720.1483745000132,0.5204375000857908,41.17279199999757,781.673228499983,760.069749749988,800.823562000005,54.0
GNN,10,3615.585700082999,720.1483745000132,0.5754169999363512,43.217833500079905,787.14962499987,759.4656980000423,803.00882275003,54.0
GNN,12,3615.585700082999,720.1483745000132,0.67458299986356,44.2911244999209,784.589021000329,761.4420094998309,806.2637922499221,53.5
GNN,14,3615.585700082999,720.1483745000132,0.7464999999911015,47.03545849997681,789.3579374998012,763.7042917501731,808.2746877497016,53.0
GNN,20,3615.585700082999,720.1483745000132,0.956500500024049,51.19689599996491,789.8180835001085,769.0433865000159,815.926614499972,53.0
GNN,24,3615.585700082999,720.1483745000132,1.015292000147383,53.29068749995258,794.5806249998668,769.4225212500783,817.1425529999397,53.0
GNN,26,3615.585700082999,720.1483745000132,1.089041999989604,52.09116649996304,794.8048330001711,768.0624582501423,815.8033327501357,53.0
GNN,28,3615.585700082999,720.1483745000132,1.2025829998947302,55.022874499968566,796.54062550037,772.3052915000324,820.0383537501921,53.0
GNN,30,3615.585700082999,720.1483745000132,1.181792000011228,56.20966649991033,796.260625000059,775.4598229998919,818.9764164998792,53.0
GNN,32,3615.585700082999,720.1483745000132,1.1497290000193061,57.90152050008146,796.9090614998322,774.820073250055,816.4728337499128,53.0
GNN,36,3615.585700082999,720.1483745000132,1.4196665000554276,59.31935400008115,802.0339369999192,774.4998022498635,824.6569477500714,53.0
GNN,40,3615.585700082999,720.1483745000132,1.5319169999656879,60.990896000021166,802.8256445000466,778.549771750022,828.2112497499554,53.0
GNN,44,3615.585700082999,720.1483745000132,1.7068755000195779,64.29266650002319,802.7254379999818,776.758083499999,835.897510750101,53.0
GNN,48,3615.585700082999,720.1483745000132,1.910416499981693,70.15033300012874,818.5446250000723,790.1160414999993,844.7624282499646,53.0
GNN,52,3615.585700082999,720.1483745000132,2.179000500063921,74.75147949992333,819.5246469998665,789.9969680001391,844.9648010000601,53.0
GNN,56,3615.585700082999,720.1483745000132,2.3257499998408093,77.79370800005836,816.5476240000089,795.7913550000626,844.9147074999246,53.0
GNN,60,3615.585700082999,720.1483745000132,2.0383754999784287,77.40918750005221,817.2131664998687,793.0423237501714,845.9115525001266,53.0
GNN,64,3615.585700082999,720.1483745000132,1.9704585001818486,81.59020849996068,820.8746665000035,794.2200305001279,857.5093235000395,53.0
GNN,68,3615.585700082999,720.1483745000132,2.247708999959741,82.23047900003166,824.1472284998963,802.2445215000573,852.198791500058,53.0
GNN,72,3615.585700082999,720.1483745000132,2.234853999993902,85.27799950007875,824.7357500000589,803.535072250213,857.0381667499305,53.0
Oracle_SVD,2,0.0,8.71231249993798,0.49539549991095555,26.33474949993797,52.541145499958475,50.88178174997893,57.039750250027055,61.0
Oracle_SVD,4,0.0,8.71231249993798,0.2574580000782589,44.25485449996813,70.85741699984283,63.9926867498275,85.94614525020461,61.0
Oracle_SVD,6,0.0,8.71231249993798,0.31618750006146,47.92160399995282,76.85118700004523,67.80529124995383,87.86276125005088,61.0
Oracle_SVD,8,0.0,8.71231249993798,0.5245625000043219,48.834020999947825,77.15518700001667,70.33964574998208,87.83931200042616,60.0
Oracle_SVD,10,0.0,8.71231249993798,0.5810835000374936,49.49977100000069,77.13506150014382,70.14031400009912,89.99350000021877,60.0
Oracle_SVD,12,0.0,8.71231249993798,0.6735415000207468,50.302083500014305,78.34168799985264,71.48587574988596,96.04564649993108,60.0
Oracle_SVD,14,0.0,8.71231249993798,0.7527289999416098,52.814417000035974,81.82706200000212,73.06166700004724,94.19419774991411,59.0
Oracle_SVD,20,0.0,8.71231249993798,0.9934380000800047,54.04287500005012,82.66447900007279,75.12320875008527,99.55449925007542,58.0
Oracle_SVD,24,0.0,8.71231249993798,1.1478755000666752,54.19647850004594,81.40485349997562,75.2623224998672,97.35850975027915,58.0
Oracle_SVD,26,0.0,8.71231249993798,1.1565414999950008,57.733687499876396,88.9830419998816,79.59867675012333,106.0621454998909,57.5
Oracle_SVD,28,0.0,8.71231249993798,1.2186664998807828,57.69975000004024,86.72210450009743,77.36917625032902,103.63794724992204,57.0
Oracle_SVD,30,0.0,8.71231249993798,1.1465420001286475,58.213624500012884,89.61133350004502,80.41215624979259,100.84374000024354,57.0
Oracle_SVD,32,0.0,8.71231249993798,1.1704169999120495,62.990458000058425,91.42949950006596,82.0050102499863,102.67889575004574,57.0
Oracle_SVD,36,0.0,8.71231249993798,1.4575215001286779,61.66825000002518,92.47466649992475,81.09831199982409,106.59559450016332,56.0
Oracle_SVD,40,0.0,8.71231249993798,1.6390834999810977,67.4433124999041,96.97204099995815,86.94327199987129,113.02812474991697,56.0
Oracle_SVD,44,0.0,8.71231249993798,1.785271000017019,65.83839600011743,98.33168749997867,86.72825000007833,112.70613475022628,55.0
Oracle_SVD,48,0.0,8.71231249993798,2.064916499989522,72.27137499990022,106.23010500012242,91.07992674995558,123.63805199973399,55.0
Oracle_SVD,52,0.0,8.71231249993798,2.3029169999517762,75.84339600009571,107.11602099991069,96.1088239999981,127.3961787501321,55.0
Oracle_SVD,56,0.0,8.71231249993798,2.1351875000164,74.82106249995013,106.17806250024842,95.6810619998123,119.30039674999193,55.0
Oracle_SVD,60,0.0,8.71231249993798,2.2285215000010794,84.39893749994098,116.55310400016106,102.72233325005686,135.51756299989393,54.0
Oracle_SVD,64,0.0,8.71231249993798,2.4275204999639755,86.74410400004717,117.99768650007536,106.34939550010358,128.73446850028358,54.0
Oracle_SVD,68,0.0,8.71231249993798,2.710458500018831,89.42191649998676,121.03333399994654,108.77381200015179,130.88214600008996,54.0
Oracle_SVD,72,0.0,8.71231249993798,2.357937499994023,84.15754149996246,116.64687500018545,102.01291725005035,137.8693242500617,53.0
PyAMG_SA,auto,0.0,16.769208500022614,41.8401665001511,90.25839599996743,151.08889649980028,138.75587499995845,180.2095832500754,12.0
